Product Name,Product Details,Price,Actual Price,Discount Percentage
"Arrow 4 Litre Capacity Hot & Cold Water Dispenser, Model No Ro-19Wdfp",,499.00SAR,SAR580.00,13% OFF
ATC 1.8L Rice Cooker,,80.00SAR,SAR119.00,32% OFF
"Arrow Electric Kettle 2.5 Ltr 1800W, Ro-25Lkt",,61.00SAR,SAR79.00,22% OFF
Dolce Gusto Esperta Coffee Capsules Machine Black,,459.00SAR,SAR999.00,54% OFF
"Philips air fryer XXL, 2220 W with fat removal technology for healthy cooking/baking/grilling 1.4 kg - black",,"1,449.00SAR",,
"Geepas Air Cooler, 20L, 80W, GAC9576N, White (Installation Not Included)",,318.00SAR,SAR440.00,27% OFF
DLC Concealed Coil Electric Kettle 2L 6170 Silver/Black,,61.00SAR,SAR129.00,52% OFF
ATC Plastic Vegetable Slicer,,55.00SAR,SAR99.00,44% OFF
Olsenmark Rice Cooker Omrc2350 Omrc2350 Pink/White,,120.00SAR,SAR144.00,16% OFF
"GVC Pro Electric Oven, 1600W, 35L",,380.00SAR,,
Kenwood 2 in 1 sandwich maker with grill 750W OWSMP01.A0WH,,179.00SAR,,
Black & Decker Oven 70L TRO70RDG-B5,,499.00SAR,SAR749.00,33% OFF
"Dots Deep Fryer 1400W Frx-091, White/Black",,146.00SAR,SAR260.00,43% OFF
"Geepas 16-Inch Wall Fan 60W - 3 Speed Settings With 7.5 Hours Timer, Wide Oscillation & Oveheat Protectio, Ideal For Home, Green House, Work Room Or Office Use",,203.00SAR,SAR243.60,16% OFF
"Toshiba Microwave 20L, 1050W, MW-MM20PB(BK)-P, Black",,332.00SAR,SAR449.00,26% OFF
Russell Hobbs Food Processor 600W 24732,,165.00SAR,SAR389.00,57% OFF
Philips juice extractor HR1832/45,,379.00SAR,,
Black & Decker Hand Mixer 300W M700-B5,,169.00SAR,SAR249.00,32% OFF
ATC Electric Rice Cooker - 2.8L Capacity - H-Rc2800N,,119.00SAR,SAR149.00,20% OFF
"Haas 1.83 Tons Outdoor Unit Split Air Conditioner, HSA24CE6YHC1, 2 Years Warranty (Installation Not Included)",,"2,750.00SAR",,
Moulinex Charlotte Kitchen Machine With Bowl White 800W 4.8L,,494.00SAR,SAR540.00,8% OFF
"Philips grind & brew coffee maker, hd7762/00",,999.00SAR,,
"Braun, coffee grinder, 110w, KG7070",,329.00SAR,SAR499.00,34% OFF
"Alsaif-Elec Stainless Vegetables Chopper, 450W, White/Red (S7611)",,95.00SAR,SAR105.00,9% OFF
"Geepas 16"" Stand Fan With Remote Control - 3 Mode/Speed, 5 Leaf Blade Wide Oscillation, Adjustable Height & Tilt Setting With LED Display, 7.5 Hours Timer",,188.00SAR,SAR226.00,16% OFF
