Product Name,Product Details,Price,Actual Price,Discount Percentage
GVC Pro WebOS TV 4K 50 Inch,,"1,249.00SAR",,
"Hisense MiniLED UHD TV, 65 Inches, 65U8HQ",,"6,199.00SAR","SAR12,999.00",52% OFF
"Samsung 85 Inch TV, QLED 4K, Quantum HDR, Object Tracking, Sound Lite Smart Hub With 2 Speakers, Dual LED, Smart Calibration, QA85Q70BAUXSA, 2022, Titan Gray",,"8,999.00SAR","SAR18,999.00",52% OFF
"Samsung 85 Inch TV, QLED 4K, Quantum HDR, Object Tracking, Sound Lite Smart Hub With 2 Speakers, Dual LED, Smart Calibration, Adjustable Stand, QA85Q60BAUXSA, 2022, Black",,"8,799.00SAR","SAR16,999.00",48% OFF
ATC LED 58'' SMART 4KE-LD-58UHD,,"2,299.00SAR",,
"Samsung 65 Inch TV, Neo QLED 8K, Quantum HDR 32X Dolby Atmos, Audio Smart Hub With 8 Speakers And In-Built Woofer, Mini LED, QA65QN800BUXSA, 2022, Stainless Steel",,"11,999.00SAR","SAR23,999.00",50% OFF
"Samsung 75 Inch TV, Neo QLED 4K, Quantum HDR 32X, Dolby Atmos, Audio Smart Hub With 8 Speakers And In-Built Woofer, Mini LED, QA75QN90BAUXSA, 2022, Titan Black",,"10,499.00SAR","SAR29,999.00",65% OFF
DORA LED TV 58 58DY30 4K,,"1,677.00SAR",,
ATC Smart 4K UHD TV - Android TV - With Eshare Service - 55 Inch - E-Ld-55UHD,,"1,445.00SAR","SAR1,949.00",25% OFF
Dlc Mini Power Adapter,,60.00SAR,SAR129.00,53% OFF
Bluetek TV Wall Mount Bracket Black/Silver,,476.00SAR,SAR711.30,33% OFF
Generic HDMI Auto Switch Splitter Black,,99.00SAR,,
Generic 3-Port HDMI Splitter 50Centimeter Black,,62.70SAR,,
